Month of Action Date,Career,Score Reason,Additional Comment
Dec-24,US Grade 4,Customer Service,"I had already canceled once, and then was charged again. I am now canceling again and hoping this time I will no longer be charged again. I tried calling for help, but listening to the same message over and over was driving me crazy. I tried to select 2 for the callback option, which then proceeded to keep repeating the Twinkl Cares message over and over again."
Dec-24,US Grade 6,Customer Service,I HAVE TRIED TO CANCEL FOR THREE MONTHS I NEVER USE THIS! HOW DARE YOU KEEP CHARGING ME MONTH AFTER MONTH
Dec-24,US Pre K,Customer Service,Never got any notification that my subscription was starting and it is hard to reach customer service. Kept getting disconnected.
Dec-24,parent,Ease of Website,I came to this website as a parent seeking resources during a disaster that prevented my children from going to school from a month. It was unbelievably complicated/impossibleto cancel during the free trial.
Dec-24,US Kindergarten,Ease of Website,"Ridiculously hard to cancel membership and confusing, thought I had cancelled last month but missed the very last cancel anyways screen and now have had to pay for another month."
Dec-24,ta,Ease of Website,I don't think I've ever needed to confirm cancellation this many times. You need one-click cancellation. I will not recommend you to other people for this reason.
Dec-24,ks3,Ease of Website,"I thought I had canceled, but I guess I didn't click ""cancel anyway"" enough times when I tried before. I feel like it's unnecessarily hard to cancel and was tricked into continuing the membership."
Dec-24,Other,Ease of Website,Too many emails. I unfortunately registered and then forgot about the service until I’d see a spam email or the charge. As a music therapy student the resources aren’t what I’ll need in a subscription format. It’s easier to buy individual resources as needed than have a monthly subscription.
Dec-24,sen,Ease of Website,I don't like having to download everything and then have the files be too big that I am not able to sue the resource.
Dec-24,Other,Ease of Website,I try to use as many free resources as possible to meet my needs as a girl scout troop leader and a school librarian.
Dec-24,US Grade 3,Price,"Yeah, I'm cancelling because my membership is not up for renewal until February, 2025 and you sent through the payment TODAY, December 12, 2024. I WANT IT REMOVED IMMEDIATELY. That's why I am cancelling. If you can't manage this then, I can't trust your organization to keep my information secure."
Dec-24,librarian,Price,"This is a wonderful site for teachers - I work in a library offering coloring sheets, dot to dots, and easy crafts for free. I feel almost $100 for the few things I use is a bit too high for our library."
Dec-24,US Pre K,Price,"Absolutly loved your site and used many things. Unfortunately I am no longer working with a preschool at the time. If anything changes, I'll be back."
Dec-24,librarian,Variety of Materials,"1) Price 2) the fact that I had to click multiple times to cancel - I cancel - You are not cancelled yet - click again! Nope, not yet - click yet again! Ridiculous."
Dec-24,US Grade 7,Variety of Materials,I mainly used Twinkl for homeschooling and my child returned to public school. I also used it for my art classes and thought many resources were wonderful! Thank you!
Jan-25,parent,Ease of Website,"I signed up for this to get resources as a parent for my high school special ed child. I could not get ANY resources for him, as the only selections given for age groups were up to grade 8."
Jan-25,adult educator,Ease of Website,"I do not need the subscription except for today to prepare for presenting the Universal Declaration to all ages. The website has a plethora of distractions and is, as it should be, geared to children, and so doesn't meet my needs well enough. I was just trying to create a simple powerpoint, not launching a career in teaching OR human rights."
Jan-25,sen,Ease of Website,"It's very difficulty to find activities pertinent to me(SLP) without sifting through all ""spring"" activities, which was time consuming."
Jan-25,slt,Ease of Website,I'm a counselor & couldn't find quiet what I was looking for. Thank you for your service to teachers!
Jan-25,adult educator,Ease of Website,All I needed was a coloring sheet for the Royal Standard flag and couldn't find it anywhere else. Thank you for having it!
Jan-25,home ed,Price,"You have a good variety of products, I do not use this type of product enough to make it worth paying for this. Have a blessed day"
Jan-25,ks5,Price,The price along with my other subscriptions is too high for the amount of high school materials that I could find to use
Jan-25,US Kindergarten,Resource Quality,"The materials are great, but I have to modify them greatly to make them useful for my students. It is less work to just create my own materials."
Jan-25,home ed,Resource Quality,"I couldn’t find any phoneme worksheets or stories that use multiple of the spellings /digraphs that all say the same sound, which I have found to be the most successful way to quickly improve reading ability (like words that say ‘sh’ including with the spellings sh / ch / ti / ci all used in the same worksheet)."
Jan-25,US Pre K,Resource Quality,The pages to print were out of alignment. I first thought it was just the one packet that I downloaded but found this to be a reoccurring issue.
Jan-25,parent,Resource Quality,"I like the illustration style much more than other similar platforms, I will come back if I ever need to get more resources."
Jan-25,ey,Variety of Materials,I cannot figure out any way to print or download every time I downloaded and went to the download. It wouldn’t open so way too difficult.
Jan-25,ey,Variety of Materials,I was hoping for more PE and physical activity lesson plans to implement into my pre K gymnastics program.
Jan-25,Other,Variety of Materials,"I wanted to get 1 or 2 documents. It's a great resource, but I don't plan to use it enough to make sense of the cost."
Jan-25,home ed,Variety of Materials,"There are limited physical education resources, and that is my main content area. The dance resources use BESR, and I use BASTE, so those aren't aligned with the visuals I use."
Jan-25,ks4,Price,"It is a great resource but there are so many resources to pay for, I have to decide which ones I can afford to keep up with."
Jan-25,parent,Variety of Materials,The amount of times the payment was attempted on my card left a bad taste. Multiple times during the day just didn’t work for me.
Jan-25,librarian,Variety of Materials,"We are a library that likes the resources for the holidays, but we don't have the budget to pay for this subscription."
Jan-25,US Kindergarten,Resource Quality,I currently teach Russian Immersion Program. The materials here are in English only. I might renew membership when I return to teaching in English program.
Jan-25,US Grade 2,Resource Quality,"I used it mostly while I was homeschooling, but my kids are both now in private school. It's an excellent resource and I loved it!"
Jan-25,US Grade 3,Resource Quality,"Your lessons are amazing, but I am not working at the moment and getting a job is not looing good thus far. I am sad to go but every little bit of money helps with basics and bills."
Jan-25,US Kindergarten,Resource Quality,"My school has many resources that align to our lessons and I am not in need of Twinkl. The products are very good, just not needed."
Jan-25,US Pre K,Resource Quality,"Will likely come back when my children are older, we just aren’t using the membership enough to continue to pay for it"
Jan-25,ks3,Variety of Materials,"I only used it once and I have tried to cancel my membership every month and every time i think i have completed the from correctely, i find out that i have something missing."
Jan-25,esl,Variety of Materials,Sometimes I find errors in the ELL resources - sometimes I can tell that the ELL resources are not created by native English speakers.
Jan-25,esl,Variety of Materials,I teach 8th grade and find the resources are too low and insufficient for the grade level and subject/curriculum.
Jan-25,US Grade 1,Variety of Materials,I am not teaching subjects that require twinkl. i only used it for summer school and I am no longer teaching summer school. Thanks.
Jan-25,sen,Variety of Materials,More non-childish special Ed materials. I teach young teenagers with special needs and most of the cognitively-appropriate materials are infantilizing. It’s easier for me to just make the materials myself.
Jan-25,US Pre K,Variety of Materials,"I wanted more games for ages 6 and under but couldn't find any I like much. Like escape rooms, scavenger hunts, etc"
Jan-25,US Pre K,Variety of Materials,"I don't currently have a need for this membership, but I may resume teaching in the future and resubscribe. One piece of feedback: I used the stories on here quite a bit, but I do not have PowerPoint. It would be amazing if more of the stories were available as PDFs!"
Jan-25,sen,Variety of Materials,"I have no memory of resigning up again, just saw a charge on my account. I love the site, but I have zero extra cash right now."
Jan-25,ks3,Variety of Materials,None - incredibly useful resource especially for teaching a language other than Spanish which is hard to come across resources.
Jan-25,US Kindergarten,Variety of Materials,I plan on continuing my membership in the future but I have enough resources to fulfill my curriculum for the year and not enough money to maintain my membership until it is needed again. I love this site and its resources thank you
Jan-25,US Grade 6,Variety of Materials,I am not a teacher. I am a parent who was using Twinkle as supplemental work to help my daughter. She is working with tutors now. thanks
Jan-25,US Grade 7,Customer Service,Can not do as site claimed and when reach out for help does noyhing but run around. Will use someone else who helps Thanks
Jan-25,US Grade 7,Price,I was diagnosed with breast cancer last September and I'm undergoing chemotherapy. I'm not working at the moment so I haven't been able to use Twinkl these past months.
Jan-25,esl,Customer Service,"I have been paying for this membership that I did not realize that I had. I thought I had the account through my work email, so did not understand why I was continuing to be charged. Is there any way that I can get a refund for the 4 months that I've been paying $9/month?
 I sincerely hope that I am NOT charged AGAIN in January for this!"
Jan-25,ks4,Customer Service,"Twinkl automatically renewed free trials that I know I canceled and was charging me twice a month from two different accounts! Obviously partly my fault for not paying attention, but it's not even a resource that I use. The resources are difficult to find/generic/ babyish/ need too much modification, etc. Also Twinkl charged me $12 dollars shipping (I think) for my ""free"" planner. Nobody answers the customer service number - high volume of calls! I wonder why!?. I hope my accounts cancel for real this time!!"
Jan-25,US Kindergarten,Customer Service,"After receiving a receipt that states a refund can be requested until January 26,2025 and then being told that I actually only had 14 days after my trial to request a refund I have been lied to. I will not use a company that lies to the customers."
Jan-25,sen,Customer Service,you have been giving me the run around in trying to cancel this account for months. Please cancel.
Jan-25,librarian,Customer Service,I did not realize I had a membership I had to pay for. Reminders about payment would have been nice.
Jan-25,US Kindergarten,Customer Service,Try to copy off American sites when it comes to cancelling plans instead of not being direct straight forward
Jan-25,US Kindergarten,Ease of Website,"I have logged on to cancel 3 times. You make the cancel process take 4 screens, which is outrageous, a scam to have people keep unknowingly paying. Absolutely awful."
Jan-25,ey,Ease of Website,"I swear I cancelled from my membership before the billing cycle but I was charged anyway. The process to cancel is annoying because you have to click ""cancel anyway"" so many times."
Jan-25,home ed,Ease of Website,I thought I cancelled months ago. I'm angry that I've been charged for something I haven't even used because I thought it was cancelled.
Jan-25,Other,Ease of Website,I had canceled this membership previously. Apparently the cancellation didn’t go through and I’ve been getting charged for a membership I thought I no longer had. I just canceled again having to go through multiple pages of clicking cancel. It was incredibly frustrating and I feel like twinkl has done this on purpose to continue getting money from people who sincerely thought they had cancelled.
Jan-25,US Grade 5,Ease of Website,I have cancelled my subscription 4 times and continue to get charged. I’m extremely unsatisfied and would like reimbursement for the last 4 months.
Jan-25,US Grade 6,Ease of Website,I couldn't sign in because the website is not very compatible with my phone. I would like my money back because I never used it at all.
Jan-25,ey,Ease of Website,"The website and more importantly the app aren’t user friendly. Needs work. However, this is an amazing resource to have for teachers and parents. Absolutely love it!"
Jan-25,sen,Ease of Website,"Love this site, but I can't pay that much for something I don't use very often. It would be nice if there was an option for $ for a certain amount of resources."
Jan-25,ey,Price,I had two duplicate accounts and one free membership. There was no notification or email that i would be charged.
Jan-25,US Grade 4,Price,"Your cancellation process is garbage. I thought I canceled months ago, but that deceptive final page tricked me into quitting the cancellation process before I was done. For that reason, I will never use your service again and I will encourage others to not use your service either."
Jan-25,sen,Price,I though I had canceled this and realized you make the process so difficult and I have been charged for I don t know how long which is rude for a busy teacher that doesn’t get paid much. I barely used this on the trial. Which you could give me back the 20.00 for the last 2 months.
Jan-25,sen,Price,I'm not using this app but kept on adding credit on my account. I'm not asking for refund but please stop getting credit from my account. Thank you
Jan-25,sen,Price,Nothing on here I havent used this website not even once because the materials suck. But yall take 9.00 out my account for months. Never coming back again.
Jan-25,US Grade 1,Price,I've enjoyed Twinkl for many years and unfortunately I've been dismissed from my educational position.
Jan-25,sen,Price,"Didn't really need this so was cancelling but moved rating to 1 because your unsubscribe process is really shady. That last page for most people looks like they are already done because they've clicked cancel twice and said no to the up-sell. The 3rd attempt on first glance looks like you're done unless you look close and realize it's ANOTHER attempt to keep you subscribed.
 
 Your product's fine, don't be so predatory."
Jan-25,US Grade 2,Price,This is the second time that I have been unintentionally signed up for a membership without any kind of email notification.
Jan-25,US Kindergarten,Price,I have been charged for an entire year and didn't realize I had a membership. Sorry to loose all that money for no benefit.
Jan-25,US Pre K,Price,I attempted to cancel this in November and was surprised to see you charged me again in December and January. Perhaps co sister a cancelation process that doesn’t require 4 screens and lots of scrolling.
Jan-25,ks1,Price,"I would like to request a refund. I didn’t realize I signed up for a recurring subscription and when I attempted to cancel before I guess I didn’t complete the process and now I am realizing it is because there are four pages of prompts to redirect from canceling!
 Can I be refunded? You should be able to see I have not been accessing this account or using content since my original trial."
Jan-25,US Grade 4,Price,I signed up for free resources and had to put my cc info in. Then I forgot that I had to have a subscription and had to delete it before charged. I could honestly make most of these resources on my own for cheaper. I don't like the subscription aspect. I also thought I cancelled last month but evidently didn't get through the entire cancellation procedure. I used this site one time and then forgot all about it.
Jan-25,sen,Price,I don't know why I was charged to much and I am not using this site. I'm very upset because they charged me over $89.00
Jan-25,US Grade 5,Price,Would like refund as i previously tried to cancel right after i did the trial and realized i woukd not use enoughand nota good time to spend money
Jan-25,US Kindergarten,Price,Mkae it easier to cancel. I thought I had canceled once because the MULTIPLE steps to cancel confused me. This resulted in my subscription going longer than i wanted.
Jan-25,US Grade 5,Price,"It might be nice if there was an option for ""few and far between,"" like an ""up to 12 downloads per year"" option that made the membership less expensive. I cannot justify nearly $10/mo for a resource I only use in emergencies."
Jan-25,US Grade 1,Price,"I don't use it enough to justify the monthly subscription. I find ideas, but nothing that I can download and use without recreating it to fit my lessons."
Jan-25,slt,Price,"I never received my planner, even after contacting customer support and getting a confirmation email months ago. I confirmed my email address."
Jan-25,US Grade 2,Price,"I love your resources first off! Layout is great and everything! I have one problem. You bill me almost every other week , more than 3 four times a day and then to make it worse it's all different prices! Ranging from $4-$10. I can send you an email with photo proof if you'd like. That is the only reason I'm cancelling."
Jan-25,US Grade 4,Price,"I love Twinkl! The activities are colorful and creative, but my District is paying for other resources that I have to use. Thank you for helping teachers!"
Jan-25,US Kindergarten,Price,"I’m a single mom, I’m really broke, and I forgot to cancel this before it came out of my gas money for the next two weeks. My tank is on empty and now I don’t know what to do. Right before this charge came out, another charge from weight watchers came out that I also forgot to cancel for $23. So I lost all my gas money, I’m already on e, and I just need to do this now before it happens again next month. I love the website, when I am in a better place I’d love to come back"
Jan-25,US Pre K,Price,"I love having access to so many wonderful teaching tools, it has just become too pricey each month to pay for this personally for my classroom use."
Jan-25,ey,Resource Quality,"We don't market sex to children over here.
 In Germany, Barbie is a sex doll. In America, she is a child's toy."
Jan-25,US Kindergarten,Resource Quality,"Activities for 6 year old children who are learning Portuguese language. The material is very limited, more for older kids and is not interesting."
Jan-25,US Grade 6,Resource Quality,Please add more options for Spanish Language arts or the ease of selecting downloands in Spanish or other languages
Jan-25,US Grade 6,Resource Quality,I'm not finding sufficient work for what I need to homeschool or enhance my child learning. It's too limiting and not enough direct content
Jan-25,US Grade 7,Resource Quality,"Too difficult to manage subscriptions. I see things that interest me, but never get the chance to go back & use for speech therapy materials."
Jan-25,parent,Customer Service,"Very frustrating to see so many attempts at trying to run my card when all I wanted was to end my membership. After one unsuccessful attempt, there should be an easy option to cancel or renew with new card rather continually reattempting a card payment without my permission. This is how most websites work."
Jan-25,US Grade 5,Ease of Website,I was not able to print out any documents and I didn't cancel before my card was charged!! I don't want to be charged again next year for something that I'm not going to use!
Jan-25,US Kindergarten,Ease of Website,Very confusing to navigate - too much at once when searching - organization is slightly confusing without spending a lot of time to try to navigate
Jan-25,adult educator,Price,I signed up to check it out. Very disappointed after checking it out so I cancel the next day. To my surprise you did not cancel my subscription. Why did you not cancel my subscription and refund my money?
Jan-25,ks1,Price,"Please return billed amount 1/1/25, I never authorized the CC charged. I cancel my account today and want refund ASAP!"
Jan-25,parent,Price,I am a stay at home mom and I just wanted materials. I could use occasionally I don’t need to pay for every month because I don’t use it every month just here and there.
Jan-25,US Grade 2,Ease of Website,"I am also teaching high school and I saw those materials. If I ever go back to elementary or even middle school, I might get a membership again."
Jan-25,sen,Price,Canceling is too difficult. i had two accounts for almost a year because i didnt realize it. just annoying
Jan-25,US Grade 2,Variety of Materials,I am not able to incorporate the resources I like from Twinkl enough in my teaching due to curriculum demands to support the cost. I don't think that the cost is unreasonable. I just need to cut it for my budget. Overall it is reasonably priced. I just can't justify paying for it and not being able to use it more frequently. I have been completely pleased with every item I have downloaded and used.
Jan-25,ks3,Ease of Website,J'aimais beaucoup l'abonnement mais financement maintemant c'est difficile. Peut-être je le repondrai dans l'avenir.
Jan-25,sen,Price,looking for a cheaper resource options and currently using TPT as I find exactly what special education resources I need from other special education teachers.
Jan-25,parent,Price,Love & enjoy the site. cant justify paying for as not directly used in my current job or personal life
Jan-25,US Grade 1,Price,I plan to come back. I wish you would do auto renewal. I prefer an option. Money is tight right now. I use the free option until my school give an increase in pay then I can come back.
Jan-25,home ed,Price,"As I have written, your website has been invaluable, but now my grandsons are enrolled in school and we no longer use the site"
Jan-25,US Grade 2,Price,You should email someone before you try to bill for the next year. My credit card company alerted me of an authorized biller and it was your company. An email would have been nice.
Jan-25,sen,Resource Quality,"The resources are not organized well. It's difficult to find materials. The quality ranges from poor to simply ok. Too many resources, no organization!"
Jan-25,ks3,Resource Quality,I like it very much. I would only add more grammar materials for the world languages - middle school/ high school.
Jan-25,home ed,Variety of Materials,The last year price was $49.95 which was reasonable for occasional use. This year price of almost $90 per year is too high for what I use the site’s materials for. Sadly I’ll have to find another way to supplement my kids
Jan-25,sen,Variety of Materials,"I'm no longer working with the population I was, but if I do, I'll be getting another membership to Twinkl!"
